Eviction ID,Address,City,State,Eviction Notice Source Zipcode,Year,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Supervisor District,Neighborhoods - Analysis Boundaries,Longitude,Latitude
M180899,1500 Block Of 48th  Avenue,San Francisco,CA,94122,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5079397,37.75752926
M131341,1400 Block Of 48th  Avenue,San Francisco,CA,94122,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5079329,37.75940092
M183017,1400 Block Of 48th  Avenue,San Francisco,CA,94122,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5079329,37.75940092
M183018,1400 Block Of 48th  Avenue,San Francisco,CA,94122,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5079329,37.75940092
M121500,800 Block Of 47th  Avenue,San Francisco,CA,94121,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5078885,37.77242334
M120594,800 Block Of 47th  Avenue,San Francisco,CA,94121,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5078885,37.77242334
M180393,800 Block Of 47th  Avenue,San Francisco,CA,94121,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5078885,37.77242334
M152874,700 Block Of 47th  Avenue,San Francisco,CA,94121,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5078872,37.77429505
M171059,1600 Block Of 48th  Avenue,San Francisco,CA,94122,2017,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5078084,37.75566448
M171200,1600 Block Of 48th  Avenue,San Francisco,CA,94122,2017,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5078084,37.75566448
M170904,1600 Block Of 48th  Avenue,San Francisco,CA,94122,2017,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5078084,37.75566448
M150264,800 Block Of 47th  Avenue,San Francisco,CA,94121,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Outer Richmond,-122.5077503,37.77242976
M162350,800 Block Of 47th  Avenue,San Francisco,CA,94121,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5077503,37.77242976
M161697,800 Block Of 47th  Avenue,San Francisco,CA,94121,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5077503,37.77242976
M162901,800 Block Of 47th  Avenue,San Francisco,CA,94121,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5077503,37.77242976
M141746,1700 Block Of 48th  Avenue,San Francisco,CA,94122,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076788,37.75379991
M150625,1700 Block Of 48th  Avenue,San Francisco,CA,94122,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076788,37.75379991
M111846,1600 Block Of 48th  Avenue,San Francisco,CA,94122,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,Sunset/Parkside,-122.5076702,37.75567061
M180029,1600 Block Of 48th  Avenue,San Francisco,CA,94122,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076702,37.75567061
M183022,1600 Block Of 48th  Avenue,San Francisco,CA,94122,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Sunset/Parkside,-122.5076702,37.75567061
M131799,4600 Block Of Irving  Street,San Francisco,CA,94122,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076682,37.7622688
M131749,4600 Block Of Irving  Street,San Francisco,CA,94122,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076682,37.7622688
M152154,4600 Block Of Irving  Street,San Francisco,CA,94122,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076605,37.76215912
M151676,4600 Block Of Irving  Street,San Francisco,CA,94122,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076605,37.76215912
M151675,4600 Block Of Irving  Street,San Francisco,CA,94122,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5076605,37.76215912
M140455,5500 Block Of Anza  Street,San Francisco,CA,94121,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.507631,37.77717171
M120037,0 Block Of Sutro Heights  Avenue,San Francisco,CA,94121,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5075543,37.7761186
M120038,0 Block Of Sutro Heights  Avenue,San Francisco,CA,94121,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5075543,37.7761186
M120267,1800 Block Of 48th  Avenue,San Francisco,CA,94122,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Sunset/Parkside,-122.5075501,37.75193335
M121088,1800 Block Of 48th  Avenue,San Francisco,CA,94122,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Sunset/Parkside,-122.5075501,37.75193335
M121085,1800 Block Of 48th  Avenue,San Francisco,CA,94122,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5075501,37.75193335
M121087,1800 Block Of 48th  Avenue,San Francisco,CA,94122,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Sunset/Parkside,-122.5075501,37.75193335
M120268,1800 Block Of 48th  Avenue,San Francisco,CA,94122,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5075501,37.75193335
M121089,1800 Block Of 48th  Avenue,San Francisco,CA,94122,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5075501,37.75193335
M140168,1700 Block Of 48th  Avenue,San Francisco,CA,94122,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5075407,37.75380588
M182707,4200 Block Of Judah  Street,San Francisco,CA,94122,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5075295,37.7602986
M141754,2100 Block Of Great  Highway,San Francisco,CA,94116,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5075,37.74632588
M150368,3900 Block Of Quintara  Street,San Francisco,CA,94116,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5074232,37.74720556
M152186,1900 Block Of 48th  Avenue,San Francisco,CA,94116,2015,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5074206,37.75006861
M162155,1900 Block Of 48th  Avenue,San Francisco,CA,94116,2016,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,Sunset/Parkside,-122.5074206,37.75006861
M171680,4500 Block Of Cabrillo  Street,San Francisco,CA,94121,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5073587,37.77343738
M171679,4500 Block Of Cabrillo  Street,San Francisco,CA,94121,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5073587,37.77343738
M190077,2000 Block Of 48th  Avenue,San Francisco,CA,94116,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5072921,37.74820315
M190434,1200 Block Of 47th  Avenue,San Francisco,CA,94122,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5072654,37.76317384
M190437,1200 Block Of 47th  Avenue,San Francisco,CA,94122,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5072654,37.76317384
M190435,1200 Block Of 47th  Avenue,San Francisco,CA,94122,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5072654,37.76317384
M190436,1200 Block Of 47th  Avenue,San Francisco,CA,94122,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5072654,37.76317384
M190438,1200 Block Of 47th  Avenue,San Francisco,CA,94122,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5072654,37.76317384
M152108,1400 Block Of 47th  Avenue,San Francisco,CA,94122,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5070027,37.75944179
M153119,1400 Block Of 47th  Avenue,San Francisco,CA,94122,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5070027,37.75944179
M152336,1400 Block Of 47th  Avenue,San Francisco,CA,94122,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5070027,37.75944179
M161834,1400 Block Of 47th  Avenue,San Francisco,CA,94122,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5070027,37.75944179
M151429,1300 Block Of 47th  Avenue,San Francisco,CA,94122,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5069956,37.7613104
M150430,1300 Block Of 47th  Avenue,San Francisco,CA,94122,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5069956,37.7613104
M151463,1300 Block Of 47th  Avenue,San Francisco,CA,94122,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5069956,37.7613104
M150044,1300 Block Of 47th  Avenue,San Francisco,CA,94122,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5069956,37.7613104
M170599,1300 Block Of 47th  Avenue,San Francisco,CA,94122,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5069956,37.7613104
M191103,1400 Block Of 47th  Avenue,San Francisco,CA,94122,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5068645,37.75944793
M120797,800 Block Of 46th  Avenue,San Francisco,CA,94121,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5068224,37.77247157
M192008,800 Block Of 46th  Avenue,San Francisco,CA,94121,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5068224,37.77247157
M190468,800 Block Of 46th  Avenue,San Francisco,CA,94121,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5068224,37.77247157
M110597,2400 Block Of Great  Highway,San Francisco,CA,94116,2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067435,37.74075749
M110294,2400 Block Of Great  Highway,San Francisco,CA,94116,2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067435,37.74075749
M120042,2400 Block Of Great  Highway,San Francisco,CA,94116,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067435,37.74075749
M151691,2400 Block Of Great  Highway,San Francisco,CA,94116,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067435,37.74075749
M151690,2400 Block Of Great  Highway,San Francisco,CA,94116,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067435,37.74075749
M151692,2400 Block Of Great  Highway,San Francisco,CA,94116,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067435,37.74075749
M171343,2400 Block Of Great  Highway,San Francisco,CA,94116,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067435,37.74075749
M121918,1600 Block Of 47th  Avenue,San Francisco,CA,94122,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5067401,37.75571172
M130166,800 Block Of 46th  Avenue,San Francisco,CA,94121,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Outer Richmond,-122.5066842,37.77247792
M121855,1700 Block Of 47th  Avenue,San Francisco,CA,94122,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.50661,37.75384722
M121023,1700 Block Of 47th  Avenue,San Francisco,CA,94122,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.50661,37.75384722
M121856,1700 Block Of 47th  Avenue,San Francisco,CA,94122,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.50661,37.75384722
M121674,1600 Block Of 47th  Avenue,San Francisco,CA,94122,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5066019,37.75571785
M121673,1600 Block Of 47th  Avenue,San Francisco,CA,94122,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5066019,37.75571785
M162645,4500 Block Of Irving  Street,San Francisco,CA,94122,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5065908,37.76220646
M190261,4500 Block Of Irving  Street,San Francisco,CA,94122,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5065908,37.76220646
M110946,2500 Block Of Great  Highway,San Francisco,CA,94116,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5064869,37.73889174
M141756,4400 Block Of Balboa  Street,San Francisco,CA,94121,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5064168,37.77524422
M141562,4400 Block Of Balboa  Street,San Francisco,CA,94121,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5064168,37.77524422
M141722,4400 Block Of Balboa  Street,San Francisco,CA,94121,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5064168,37.77524422
M151530,4400 Block Of Balboa  Street,San Francisco,CA,94121,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5064168,37.77524422
M141003,1900 Block Of 47th  Avenue,San Francisco,CA,94116,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5063522,37.75011663
M121595,400 Block Of 45th  Avenue,San Francisco,CA,94121,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5063301,37.78044231
M190498,2600 Block Of Great  Highway,San Francisco,CA,94116,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5063061,37.73749692
M190593,2600 Block Of Great  Highway,San Francisco,CA,94116,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5063061,37.73749692
M183277,4400 Block Of Cabrillo  Street,San Francisco,CA,94121,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5062802,37.77337681
M192127,4400 Block Of Cabrillo  Street,San Francisco,CA,94121,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5062802,37.77337681
M131439,1200 Block Of 46th  Avenue,San Francisco,CA,94122,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5061944,37.7632225
M130576,1200 Block Of 46th  Avenue,San Francisco,CA,94122,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5061944,37.7632225
M141005,1200 Block Of 46th  Avenue,San Francisco,CA,94122,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5061944,37.7632225
M121016,2600 Block Of Great  Highway,San Francisco,CA,94116,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5061853,37.73656483
M160919,2600 Block Of Great  Highway,San Francisco,CA,94116,2016,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5061853,37.73656483
M170271,2600 Block Of Great  Highway,San Francisco,CA,94116,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5061853,37.73656483
M170594,2600 Block Of Great  Highway,San Francisco,CA,94116,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5061853,37.73656483
M131888,6900 Block Of Fulton  Street,San Francisco,CA,94121,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5061522,37.77162188
M111706,1300 Block Of 46th  Avenue,San Francisco,CA,94122,2011,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5060627,37.76135165
